,question,question_id,question_type,survey_id
445,"Overall, how easy or difficult was it to understand the point of this article?",10,rate,5bb3871c87ff9f000406c5b4
446,"If you could improve this article, what changes or updates would you make?",11,textarea,5bb3871c87ff9f000406c5b4
447,"Now, we will be discussing your eating habits Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5b85bd0e81bfe900045493be
448,"Which of the following options best describes how often you eat out?&nbsp; (Restaurants, Fast Food, Take Out, Delivery)",2,single-select,5b85bd0e81bfe900045493be
449,"Please list some of your favorite places to eat out (Restaurants, convenience stores, Fast Food, Take Out, Delivery)",3,textarea,5b85bd0e81bfe900045493be
450,"How much are you willing to spend on eating out each week?&nbsp; (Restaurants, Fast Food, Take Out, Delivery)",4,number,5b85bd0e81bfe900045493be
451,"Which meal do you eat out most frequently?&nbsp; (Restaurants, Fast Food, Take Out, Delivery)",5,single-select,5b85bd0e81bfe900045493be
452,Which of the following options best represents you?&nbsp;,6,single-select,5b85bd0e81bfe900045493be
453,When or in what situation(s) do you find yourself eating off campus?,7,textarea,5b85bd0e81bfe900045493be
454,"If you could improve the meal plans or food offerings at your university/college, what changes or updates would you make?",8,textarea,5b85bd0e81bfe900045493be
455,What are the main challenges or frustrations that you face in regards to the eating on campus? Please be descriptive.,9,textarea,5b85bd0e81bfe900045493be
456,"What is your job title, level or responsibility?",0,single-select,90
457,What is your (FICO) credit score?,0,single-select,164
458,We’re interested in learning what activities and sports you participate in.,0,description,93
459,Which of the following sports or recreational activities do you participate in?,1,multi-select,93
460,You indicated that you go fishing. We’d like to learn more about your fishing habits.,2,description,93
461,How long have you been fishing for?,3,single-select,93
462,Let’s start with where and how frequently you fish …,4,description,93
463,How frequently do you go fishing (during the appropriate season)?,5,single-select,93
464,Where do you usually go fishing? (Select the answer that best applies),6,single-select,93
465,"When planning a fishing trip, do you prefer to … (Select the answer that best applies)",7,single-select,93
466,How did you book your last fishing trip?,8,multi-select,93
467,How did you research your last fishing trip?,9,multi-select,93
468,How do you get to and from your last fishing trips?,10,multi-select,93
469,"Now, let’s chat about more how you go about purchasing fishing equipment and accessories ...",11,description,93
470,"Have you ever bought fishing equipment, accessories or gear?",12,single-select,93
471,"What was the last fishing equipment, accessory or gear that your bought?",13,textarea,93
472,How would you describe the last fishing equipment or accessory that you bought?,14,single-select,93
473,Where did you buy this equipment or accessory or gear from?,15,single-select,93
474,How much research did you do before buying this?,16,single-select,93
475,How did you research this product before buying it?,17,multi-select,93
476,"Please list some of the sources (websites, magazines) that you used.",18,textarea,93
477,What is the most important factor to you when buying hunting and or or fishing equipment or accessories?,19,single-select,93
478,Please describe which of the following statements best applies to you …,20,single-select,93
479,We now want to explore the fishing content and publications you engage with.,21,description,93
480,Do you subscribe to any fishing websites?,22,single-select,93
481,Please list the websites you subscribe to.,23,textarea,93
482,"And, finally a couple of general questions on fishing.",24,description,93
483,What best describes your attitude towards fishing?,25,single-select,93
484,What digital or electronic devices do you take when fishing?,26,multi-select,93
485,Do you take photos whilst fishing?,27,single-select,93
486,How do you share your photos?,28,multi-select,93
487,"What other activities, outside of fishing, are you interested in?",29,textarea,93
488,Do you also go hunting?,30,single-select,93
489,"Please CLICK ON THE LINK BELOW to open the [insert stimuli] in a separate tab of your browser. Take a few moments to review [insert stimuli ] in its entirety until you have a sense for the information. Feel free to click around and interact with this page as you normally would. [include one of the below if applicable] Note: This is a prototype that is meant to simulate this experience. Therefore, only certain page elements will be clickable. When you are finished, return here and click next to begin the survey. (Important! Please keep the link open in the separate tab so that you can refer to it for the duration of the survey.)",0,description,199
490,"Please CLICK ON THE LINK BELOW to open the [insert stimuli] in a separate tab of your browser. Take a few moments to review [insert stimuli] in its entirety until you have a sense for the information. [include one of the below if applicable] Note: This is a prototype that is meant to simulate this experience. Therefore, only certain page elements will be clickable. Note: This is a static image that is meant to represent this product. You may need to click once to zoom in. When you are finished, return here and click next to begin the survey. (Important! Please keep the link open in the separate tab so that you can refer to it for the duration of the survey.)",0,description,198
491,"Now, we're interested in learning more about your process for making restaurant reservations ... Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5b60877de976bb00043ec07a
492,"If you had to make a restaurant reservation for this weekend, what would be your preferred way of making the reservation?",2,single-select,5b60877de976bb00043ec07a
493,Please explain your answer to your previous question.,3,textarea,5b60877de976bb00043ec07a
494,"Today we would like your feedback on a prototype for a loading sequence on an app. The loading sequence is a clip that viewers would see while the TV show they selected to watch loads on their connected device.Note that sound is available, but you are not required to enable your speakers.Thank you in advance for your time and thoughts.",0,description,147
495,How would you describe your reaction to the loading sequence you just viewed?,2,rate,147
496,Would you find this loading sequence to be intrusive to your experience in waiting for a TV show to load?,3,rate,147
497,How would you suggest improving this loading sequence?,4,textarea,147
498,"When you think about this product, do you think of it as something you need or don't need?",0,rate,195
499,Would you provide your email address to learn more about this product?,1,single-select,195
500,How likely would you be to use this product?,2,rate,195
501,What would make you more likely to use this product?,3,textarea,195
502,How would you rate your initial reaction to this page?,0,rate,194
503,How would you rate the page in terms of the following?,1,matrix-likert,194
504,What aspect(s) of the page design did you find to be MOST visually appealing?,2,textarea,194
505,What aspect(s) of the page design did you find LEAST visually appealing?,3,textarea,194
506,How would you rate the this page in terms of overall visual appeal?,4,rate,194
507,"In your household, which of the following things are you responsible or partially responsible for making decisions about?",0,multi-select,197
508,Are you a parent?,0,single-select,67
509,Please select the age(s) of your children:,1,multi-select,67
510,Can you start off by describing how you currently [ insert behavior] ?,0,textarea,191
511,"What tools (websites, apps, physical tools, etc.) do you use in order to [insert behavior] ? Please list each",1,textarea,191
512,How frequently do you use those tools?,2,single-select,191
513,"What type of device do you prefer to use in order to perform [insert behavior] , if any?",3,single-select,191
514,How would you rate your overall satisfaction with the tools you currently use?,4,rate,191
515,Can you start off by describing how you currently [insert behavior] ?,0,textarea,190
516,How frequently do you [insert behavior ]?,1,single-select,190
517,What aspect(s) of your current process are you MOST satisfied with? Please be specific.,2,textarea,190
518,What aspect(s) of your process are you LEAST satisfied with? Please be specific,3,textarea,190
519,How would you rate your overall satisfaction with your current process?,4,rate,190
520,How would you rate your overall initial reaction to the [insert stimuli] ?,0,rate,193
521,Where would you click or interact with first?,1,single-select,193
522,Can you start off by describing how you currently [insert behavior] ?,0,textarea,192
523,"What type of device(s) do you use in order to perform [insert behavior] , if any?",1,multi-select,192
524,"When [insert behavior] , what challenges or frustrations do you face (if any)? Please be specific.",2,textarea,192
525,How would you rate the impact these challenges have on your process?,3,rate,192
526,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we are interested in learning about your experiences managing internet connectivity at your organization.Thanks in advance for your input. Your feedback is valuable to us.",0,description,115
527,Did your organization prefer to purchase and own its WiFi hardware?,1,single-select,115
528,Please explain why or why not.,2,textarea,115
529,Does your organization have an IT staff?,3,single-select,115
530,"Imagine your organization was going to install WiFi.Would you have the IT staff install it, or hire a a third party provider?",4,single-select,115
531,Is your organization managing its own WiFi system?,5,single-select,115
532,Please explain why your organization has chosen this mode of operation in relation to WiFi management.,6,textarea,115
533,Do any of the following reasons explain why your organization prefers to manage its own WiFi?,7,multi-select,115
534,Does your organization provide WiFi access as a guest amenity/experience? (e.g. hotels and venues),8,single-select,115
535,Does your organization have a managed service that monitors and manages WiFi?,9,single-select,115
536,Do any of the following reasons explain why your organization prefers to have a managed service manage the WiFi?,10,multi-select,115
537,You indicated that your organization outsources your WiFi management.Does your organization also outsource the following?,11,multi-select,115
538,Why does your organization choose to or choose NOT to outsource the options in the previous question?,12,textarea,115
539,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we will show you a webpage from the PwC website. We are interested in getting your feedback on the webpage. We will ask you for your initial impression of the page, we'll ask you to tell us specifically what you like and dislike about the page, as well as a few other questions surrounding the page.Thanks in advance for your input. Your feedback is valuable to us.",0,description,114
540,"Before we begin, we'd like to know: Were you born on an even or odd-numbered day?",1,single-select,114
541,"Please click on the link below to open the PwC page in a separate tab of your browser. Take a few moments to scroll through the webpage. While you are browsing, think about what you like and don't like about the page.Keep the webpage open in a separate tab of your browser so that you can refer to it for the duration of the survey.(PLEASE NOTE: You will see a popup bar at the top of the PwC webpage that says ""Wayback Machine"" in the left corner. Please click ""Close X"" to hide the bar from your view.)",2,description,114
542,"Please click on the link below to open the PwC page in a separate tab of your browser.Take a few moments to scroll through the webpage. While you are browsing, think about what you like and don't like about the page.Keep the webpage open in a separate tab of your browser so that you can refer to it for the duration of the survey.",3,description,114
543,What is your initial impression of the PwC page?,4,rate,114
544,"Where would you click first on the page, and why?",5,textarea,114
545,"Based on what you see on the PwC page, how would you describe what the purpose of the page is to a family member or friend?",6,textarea,114
546,How well do you think you understand what the purpose of the PwC page is?,7,rate,114
547,What do you like about the page?,8,textarea,114
548,What do you dislike about the page?,9,textarea,114
549,Please rate the page in terms of the following.,10,matrix-likert,114
550,Did you find anything confusing about the page?,11,single-select,114
551,What did you find confusing?,12,textarea,114
552,How would you suggest improving the page to make it more user-friendly?,13,textarea,114
553,"Now we have a challenge for you! We are going to show you a website homepage for 5 seconds. After the 5 seconds are up, we will ask you to return here and give us your impression of the page.",0,description,88
554,"Please click on the link below to open the homepage in a separate tab of your browser. Once the 5 seconds are up, the page will disappear, and you will be prompted to return here to continue the survey. Try to remember as much as you can!",1,description,88
555,What do you remember?,2,textarea,88
556,What product or service is provided on the website?,3,textarea,88
557,Who is the website for?,4,textarea,88
558,How well do you think you understand what this website does?,5,rate,88
559,How useful do you think this website would be for you personally?,6,rate,88
560,What did you like most about the homepage?,7,textarea,88
561,What did you like least about the homepage?,8,textarea,88
562,Did you find anything confusing about the homepage?,9,single-select,88
563,What was confusing?,10,textarea,88
564,What suggestions would you give to improve the homepage?,11,textarea,88
565,What is your highest level of education?,0,single-select,89
566,Approximately how many employees work at your organization?,0,single-select,111
567,"Task 1: [insert task here]. Once you are finished searching for this information, please keep the page open so that you can refer back to the information over the next few questions.",0,description,110
568,Task 1: [insert task here]. Were you able to complete the task?,1,single-select,110
569,[Verification question] Task 1: [insert task here]. Which of the following is NOT an area of consulting that PwC provides?,2,single-select,110
570,Task 1: [insert task here]. How easy or difficult was it to complete this task?,3,rate,110
571,Task 1: [insert task here]. Did it take you more or less time than you expected to complete this task?,4,single-select,110
572,What social media platforms do you actively use?,0,multi-select,113
573,Which department do you primarily work within at your organization?,0,single-select,112
574,How would you rate this website in terms of the following?,0,matrix-likert,82
575,How does this product compare to competitors?,0,single-select,83
576,Who do you live with currently?,0,single-select,80
577,"Imagine yourself in the following situation:You’re purchasing a new condo and have already gone through the hard parts. You’ve found a place you love, researched mortgage rates, and already chosen Chase Bank to obtain a mortgage and got an interest rate you’re happy with.Assume you are ready to purchase a home and finalizing your loan online at the link below. Please go through it as you would on a normal website, since it’s an example, only certain parts are clickable, click anywhere on the screen and it will highlight what’s clickable.You will see an option for something called Home Forever that we’d love to hear your thoughts on. We are NOT asking you to evaluate the website or the mortgage rates for us but are interested in what you think about Home Forever.Please access the example at the link below and only start answering the survey questions once you’ve reached the page that says “proceed to questions”.",0,description,81
578,"Imagine yourself in the following situation:You’re purchasing a new condo and have already gone through the hard parts. You’ve found a place you love, researched mortgage rates, and already chosen Chase Bank to obtain a mortgage and got an interest rate you’re happy with.Assume you are ready to purchase a home and finalizing your loan online at the link below. Please go through it as you would on a normal website, since it’s an example, only certain parts are clickable, click anywhere on the screen and it will highlight what’s clickable.You will see an option for something called Home Forever that we’d love to hear your thoughts on. We are NOT asking you to evaluate the website or the mortgage rates for us but are interested in what you think about Home Forever.Please access the example at the link below and only start answering the survey questions once you’ve reached the page that says “proceed to questions”.",1,description,81
579,"Have you reached the last page of the prototype? If not, please click on the link below again to access the example.We recommend keeping the page open in a separate tab of your browser so that you can refer to it for the duration of the survey.",2,single-select,81
580,"Have you reached the last page of the prototype? If not, please click on the link below again to access the example.We recommend keeping the page open in a separate tab of your browser so that you can refer to it for the duration of the survey.",3,single-select,81
581,What were your reactions to Home Forever?,4,textarea,81
582,How easy would it be to explain Home Forever to someone you know?,5,single-select,81
583,"If Home Forever was an option when you are about to purchase a home and finalize your mortgage, how likely would you be to include Home Forever as an add-on?",6,single-select,81
584,Please tell us why you selected that answer.,7,textarea,81
585,Please tell us why you selected that answer.,8,textarea,81
586,Which Home Forever option did you select?,9,single-select,81
587,Please tell us why you selected that answer.,10,textarea,81
588,Please tell us why you selected that answer.,11,textarea,81
589,Did you click the “Questions? Learn More.” Button?,12,single-select,81
590,"Please click on the example site again, continue to the “Add Mortgage Insurance” page and click the “Questions? Learn More.” button.",13,description,81
591,"Please click on the example site again, continue to the “Add Mortgage Insurance” page and click the “Questions? Learn More.” button.",14,description,81
592,Does this “Learn More” page address the questions you had about Home Forever?,15,single-select,81
593,Please tell us why you selected that answer.,16,textarea,81
594,Please tell us why you selected that answer.,17,textarea,81
595,"Did reading about the Key Features and Frequently Asked Questions (on the ""Learn More"" page) make you more or less interested in Home Forever?",18,single-select,81
596,Please tell us why you selected that answer.,19,textarea,81
597,Please tell us why you selected that answer.,20,textarea,81
598,Which Home Forever feature(s) did you like MOST?,21,textarea,81
599,What did you like the least about the Home Forever features?,22,textarea,81
600,What would you still want to learn about Home Forever?,23,textarea,81
601,Do you have life insurance?,24,single-select,81
602,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we would like your feedback on a new idea to help you manage medications.Imagine you receive a monthly report about the medications you are currently taking. You would go over this report with your pharmacist during a 15 minute monthly consultation.We will now show you an example of this report. We are interested in hearing your feedback on the report. Thanks in advance for your input!",0,description,119
603,"Before we begin, we'd like to know: Were you born on an even or odd-numbered day?",1,single-select,119
604,"Click on the link below to open the example report in a separate tab of your browser.Take a few minutes to read through the report. Start with the ""How to Use This Summary"" information at the top, to help you understand what information is included in the report. Be sure to view the second page as well.Keep this report open so that you can refer to it during the survey. Thanks!",2,description,119
605,"Click on the link below to open the example report in a separate tab of your browser.Take a few minutes to read through the report. Start with the ""How to Use This Summary"" information at the top, to help you understand what information is included in the report. Be sure to view the second page as well.Keep this report open so that you can refer to it during the survey. Thanks!",3,description,119
606,How helpful would the information in this report be for you personally?,4,rate,119
607,How easy or difficult is it to read this report?,5,single-select,119
608,Did you find anything confusing about the information in the report?,6,single-select,119
609,What was confusing?,7,textarea,119
610,"In the context of this report, do you understand what ""Adherence"" means?",8,single-select,119
611,"What do you think ""Adherence"" means in the context of this report?",9,textarea,119
612,Take another look at the medications listed on the report. Is it clear why the medications are listed in this order?,10,rate,119
613,How would you prefer to see the medications listed?,11,single-select,119
614,"In the context of this report, do you understand what ""Taken Off Schedule"" means?",12,single-select,119
615,"What do you think ""Taken Off Schedule"" means in the context of this report?",13,textarea,119
616,"Take another look at the list of medications on the first page. In the context of this report, do you understand what the ""Medication taken on time"" header means?",14,single-select,119
617,"What do you think the information under ""Medication taken on time"" means in the context of this report?",15,textarea,119
618,"Take another look at the list of medications on the first page. In the context of this report, do you understand what the ""On-time adherence"" header means?",16,single-select,119
619,"What do you think the information under ""On-time adherence"" means in the context of this report?",17,textarea,119
620,"Take a look at the ""Adherence Trend"" graph on the second page. How easy or difficult is it to understand the graph?",18,rate,119
621,How helpful would a graph like this be to you?,19,single-select,119
622,Is there anything not included on this report that you would want to see regarding your medication intake?,20,textarea,119
623,What country do you live in?,0,single-select,118
624,Are you a customer of CIBC?,1,single-select,118
625,What type of financial accounts do you have?,2,multi-select,118
626,How frequently do you access your online financial account(s)?,3,single-select,118
627,How do you typically access your online financial accounts?,4,single-select,118
628,How old are you?,0,single-select,84
629,Do you have a college degree?,1,single-select,84
630,Which of the following is true?,2,single-select,84
631,Approximately many people live in your city or town?,0,single-select,85
632,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we would like your feedback on a new product idea. Thanks in advance for your input -- your feedback is valuable to us.",1,description,85
633,How frequently do you get prescriptions filled?,2,single-select,85
634,Imagine there was a service that offered prescription refills and delivery on demand.How useful would a service like this be for you personally?,3,rate,85
635,"Again, imagine there was a service that offered prescription refills and delivery on demand.What would be your preferred method of requesting this service?",4,multi-select,85
636,How comfortable would you feel using a service like this?,5,rate,85
637,"Do you currently use a chain pharmacy (e.g. CVS, Walgreens, etc) or an independent pharmacy to fill your prescriptions?",6,single-select,85
638,"Again, imagine there was a service that offers prescription refills and delivery on demand. This service could be used only through an independent pharmacy. How willing would you be to switch from using a chain pharmacy to an independent pharmacy for a service like this?",7,rate,85
639,"How often do you purchase other, non-prescription items at the pharmacy when you go to pick up a prescription?",8,single-select,85
640,"Now, we will be interested in learning your perception of visiting a hospital gift shop. Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5b6076c010b04600049075bc
641,"To begin, have you ever purchased something from a hospital gift shop that you really liked?",2,single-select,5b6076c010b04600049075bc
642,Please explain your response to the previous question,3,textarea,5b6076c010b04600049075bc
643,Is there anything that you wish hospital gift shops sell that they currently do not?,4,textarea,5b6076c010b04600049075bc
644,Please select anything you would consider purchasing at a hospital gift shop,5,multi-select,5b6076c010b04600049075bc
645,"Finally, what do you think a hospital gift shop should provide?",6,single-select,5b6076c010b04600049075bc
646,"Today we would like your feedback on a prototype for a loading sequence on an app. The loading sequence is a clip that viewers would see while the TV show they selected to watch loads on their connected device.Note that sound is available, but you are not required to enable your speakers.Thank you in advance for your time and thoughts.",0,description,140
647,How would you describe your reaction to the loading sequence you just viewed?,2,rate,140
648,Would you find this loading sequence to be intrusive to your experience in waiting for a TV show to load?,3,rate,140
649,How would you suggest improving this loading sequence?,4,textarea,140
650,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we would like your feedback on Department of Labor (DoL) documents prepared by a company. Thanks in advance for your input. Your feedback is valuable to us.",0,description,141
651,"Please click on the link below to open the Department of Labor (DoL) document in another tab of your browser. Take 2-3 minutes to read through the FOUR pages of the document. (You can page through with your keyboard's arrow or by clicking on the arrow on the page.)While you're reading, think about whether these documents appear helpful or unhelpful to you, or if you find anything confusing about the document's contents. Note: we recommend keeping the document open in a separate tab while you complete the survey.",1,description,141
652,What is your overall impression of the document?,2,rate,141
653,How well do you feel you understand the content of the document?,3,rate,141
654,"We will now ask you to rate your level of agreement with a number of statements related to the DoL document. Note: If you don't still have the document open, feel free to click on it below.",4,description,141
655,Do you agree or disagree with the following statements regarding the content of the document?,5,matrix-likert,141
656,How would you rate the following statements regarding the company that produced this document?,6,matrix-likert,141
657,Did you find anything confusing about the document? (i.e. certain words or phrases used?),7,single-select,141
658,What was confusing?,8,textarea,141
659,Which of the following best describes you?,9,single-select,141
660,Approximately what is the annual revenue for your organization?,0,single-select,226
661,When was the last time you saw a movie?,1,single-select,5baba98184bf1c000401c3f7
662,"Have you ever heard of the movie, Guardians of the Galaxy?&nbsp;",2,single-select,5baba98184bf1c000401c3f7
663,Do you know who James Gunn is?,3,single-select,5baba98184bf1c000401c3f7
664,Are you aware that James Gunn&nbsp;was fired from Guardians of the Galaxy 3?,4,single-select,5baba98184bf1c000401c3f7
665,How interested you are in the fact that James Gunn was fired from&nbsp;Guardians of the Galaxy 3?&nbsp;,5,rate,5baba98184bf1c000401c3f7
666,At what price would you think the product is a bargain – a great buy for the money?,0,number,3
667,"At what price would you begin to think the product is getting expensive , but you still might consider it?",1,number,3
668,At what price would you begin to think the product is too expensive to consider?,2,number,3
669,At what price would you begin to think the product is so cheap that you would question the quality and not consider it?,3,number,3
670,What is your first reaction to this product?,0,rate,177
671,How innovative or not innovative do you find this product?,1,rate,177
672,Do you currently have or use a product similar to this one?,2,single-select,177
673,How likely would you be to replace your currect product with this product?,3,single-select,177
674,"What aspects of this product stand out as particularly new, or original to you?",4,textarea,177
675,"What aspects of this product stand out as particularly commonplace, or unoriginal to you?",5,textarea,177
676,Now we will ask for your feedback on features of a product. Please review the following product description: {insert product description},0,description,7
677,Please rate how important the following features are to you within this product:,1,matrix-likert,7
678,"Please rank the following features in order of importance, where first is most important and last is least important.",2,rank,7
679,Which feature did you rank as most important?,3,single-select,7
680,Which feature did you rank as least important?,4,single-select,7
681,Are there any other features that were not mentioned that would be useful to you? Please explain why.,5,textarea,7
682,We’re interested in learning what activities and sports you participate in.,0,description,92
683,Do you play golf and/or tennis?,1,single-select,92
684,Do you run and/or cycle?,2,single-select,92
685,Do you hunt and/or go fishing?,3,single-select,92
686,You indicated that you either hunt and/or go fishing. We’d like to learn more about your hunting and fishing habits.,4,description,92
687,Let’s start with where and how frequently you hunt and/or fish …,5,description,92
688,How long have you been fishing for?,6,single-select,92
689,How frequently do you hunt and/or fish (during the appropriate hunting or fishing season)?,7,single-select,92
690,Where do you usually go hunting and/or fishing? (Select the answer that best applies),8,single-select,92
691,"When planning a hunting and/or fishing trip, do you prefer to … (Select the answer that best applies)",9,single-select,92
692,How did you book your last hunting and/or fishing trip?,10,multi-select,92
693,How did you use to plan your last hunting and/or fishing trip?,11,multi-select,92
694,How do you get to and from hunting and/or fishing trips?,12,multi-select,92
695,"Now, let’s chat about more how you go about purchasing hunting or fishing equipment and accessories ...",13,description,92
696,"Have you ever bought hunting and/or fishing equipment, accessories or gear?",14,single-select,92
697,What was the last hunting and/or fishing equipment or accessory or gear that your bought?,15,textarea,92
698,How would you describe the last hunting and/or fishing equipment or accessory that you bought?,16,single-select,92
699,Where did you buy this equipment or accessory or gear from?,17,single-select,92
700,How much research did you do before buying this?,18,single-select,92
701,How did you research this product before buying it?,19,multi-select,92
702,"Please list some of the sources (websites, magazines) that you used.",20,textarea,92
703,Please describe which of the following statements best applies to you …,21,single-select,92
704,What is the most important factor to you when buying hunting and/or fishing equipment or accessories?,22,single-select,92
705,We now want to explore the hunting and/or fishing content and publications you engage with.,23,description,92
706,Do you subscribe to any hunting and/or fishing website?,24,single-select,92
707,Please list the websites you subscribe to.,25,textarea,92
708,"And, finally a couple of general questions on hunting and/or fishing.",26,description,92
709,What best describes your attitude towards hunting and/or fishing?,27,single-select,92
710,What digital or electronic devices do you take when hunting and/or fishing?,28,multi-select,92
711,Do you take photos whilst hunting and/or fishing?,29,single-select,92
712,How do you share your photos?,30,multi-select,92
713,"What other activities, outside of hunting and/or fishing, are you interested in?",31,textarea,92
714,"Now, we will be reviewing your reaction to a concept for a trivia game. Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5b5f4f7ba4c1d60004a6f615
715,"For the purposes of this survey, imagine that there was an Saturday Night Live (SNL) Trivia game that included content about actors, episodes, seasons, skits, musical guests, etc.",2,description,5b5f4f7ba4c1d60004a6f615
716,What was your first reaction to this concept?,3,rate,5b5f4f7ba4c1d60004a6f615
717,"What do you find most appealing about this concept, and why?",4,textarea,5b5f4f7ba4c1d60004a6f615
718,"What is least appealing about this concept, and why?",5,textarea,5b5f4f7ba4c1d60004a6f615
719,How would you rate this concept in terms of the following:,6,matrix-likert,5b5f4f7ba4c1d60004a6f615
720,"If you were presented with this product, what would you do next?",7,multi-select,5b5f4f7ba4c1d60004a6f615
721,"If you could improve this concept, what changes or updates would you make?",8,textarea,5b5f4f7ba4c1d60004a6f615
722,Where would you expect to access the SNL trivia game?,9,textarea,5b5f4f7ba4c1d60004a6f615
723,Which of the following best describes your answer to the previous question?,10,single-select,5b5f4f7ba4c1d60004a6f615
724,On what platform would you expect to access the SNL trivia game? Please be specific.,11,textarea,5b5f4f7ba4c1d60004a6f615
725,"Now, we will ask you about gifs and memes, and how they fit into digital advertising",1,description,5b5a15a63247140004571d18
726,What industry do you specifically work with?,2,single-select,5b5a15a63247140004571d18
727,"Have you worked with ‘non-traditional’ advertising channels, such as animated gifs, memes, short viral videos, etc?",3,single-select,5b5a15a63247140004571d18
728,What are the pitfalls of advertising with gifs and memes?,4,textarea,5b5a15a63247140004571d18
729,What are the biggest benefits of advertising with gifs and memes?,5,textarea,5b5a15a63247140004571d18
730,Are you familiar with Giphy.com?,6,single-select,5b5a15a63247140004571d18
731,How likely are you to pay for access to a service like Giphy.com?,7,rate,5b5a15a63247140004571d18
732,How would you monetize the use of gifs and memes in ads?,8,textarea,5b5a15a63247140004571d18
733,Can you turn advertising into content?,9,textarea,5b5a15a63247140004571d18
734,"Now, we will be&nbsp;looking to get your feedback on a new app.&nbsp; Imagine you are looking to donate to a non-profit that helps feed the homeless in your local city. Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5bb2850689d24e0004700254
735,What was your overall reaction to that experience?,3,rate,5bb2850689d24e0004700254
736,How easy or difficult would it be to make a donation?,4,rate,5bb2850689d24e0004700254
737,Was there anything confusing or unclear during that experience?,5,textarea,5bb2850689d24e0004700254
738,How would you rate this flow in terms of the following:,6,matrix-likert,5bb2850689d24e0004700254
739,Do you remember how many children $36 would help feed?,7,single-select,5bb2850689d24e0004700254
740,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we are interested in getting your feedback on the navigation of a website called ""Staying Sharp"". Staying Sharp provides science-based tools to assess your brain health and provide a personalized path to maintaining and improving it. It’s packed with information, activities and tools backed by the Global Council on Brain Health and designed to be both fun and effective. In this survey, we will ask you to interact with the website.Thanks in advance for your input. Your feedback is valuable to us.",0,description,108
741,Please click on the link below to open the website in a separate tab of your browser. Take a moment to browse through the site.,1,description,108
742,What is your first reaction to the website?,2,rate,108
743,"Please navigate back to the Staying Sharp website. Take a minute to find the navigation menu. When you have found it, please return here to the survey.",3,description,108
744,Where did you look and or or click first to find the navigation menu?,4,textarea,108
745,Did you find the navigation menu?,5,single-select,108
746,"We want to be sure you found the navigation menu! The navigation menu is located on the top right side of the page we shared. It has three horizontal lines, with the word ""Menu"" underneath. Navigate back to the link below now to confirm you have found it.",6,description,108
747,We want to be sure you found the navigation menu! Which of the following is NOT an option in the navigation menu?(Be sure the scroll down in the website's menu to see all options.),7,single-select,108
748,How easy was it to find the navigation menu?,8,single-select,108
749,Did it take you more or less time than you expected to find the navigation menu?,9,single-select,108
750,How easy is it to understand the options on the nagivation menu?,10,rate,108
751,Where would you click first on the navigation menu?,11,single-select,108
752,"Notice the options on the navigation menu. Underneath ""Explore"" are five suboptions: All Content, Activities, Articles, Recipes, and Games.How would you describe the purpose of the ""Explore"" menu options?",12,textarea,108
753,"Again, notice the options in the navigation menu.What do you think is the purpose of the ""My Staying Sharp"" menu option?",13,textarea,108
754,Are there any options missing in the navigation menu that you would expect to see on a website like this?,14,single-select,108
755,What's missing?,15,textarea,108
756,We would like to make the navigation menu as clear and intuitive to use as we can.Was there anything you found confusing about the website's navigation and or or the options in the navigation menu?,16,textarea,108
757,"You have qualified for an additional testing opportunity ! Are you interested in completing a recorded online test for an additional $10.00 Paypal payment ? Test Details: - This test will take around 10-15 minutes - You will need to answer each question out loud - You will need to be in a quiet space (so we can hear you!) - Your voice and screen will be recorded If you are comfortable with those details, click 'Yes'",0,single-select,109
758,"Thanks for taking the time to participate! In order to receive payment, please keep the following requirements in mind: - You will need a working microphone on your device - You will need to be in a quiet space (so we can hear you!) - You will need to read each survey question OUT LOUD - You will need to provide a VERBAL response to answers If you can adhere to those requirements, click the START TEST link below.",1,description,109
759,How easy was that test taking experience?,2,rate,109
760,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! Today we interested in learning about your satisfaction and dissatisfaction with the TV, Internet, phone and home security services you provide your residents. Thanks in advance for your input. Your feedback is valuable to us.",0,description,146
761,"Do you (or does your organization) currently provide any of these services (TV, Internet, phone and home security services) to residents?",1,single-select,146
762,Please explain why not.,2,textarea,146
763,"How satisfied are you with the TV, Internet, phone and home security services you currently provide residents?",3,rate,146
764,"Do you currently deal with more than one provider for these services? (TV, Internet, phone and home security services)",4,single-select,146
765,"How valuable would you find it to source these services (TV, Internet, phone and home security services) from one provider (versus multiple)?",5,rate,146
766,How easy or difficult is it for you (or your organization) to find technology vendors?,6,rate,146
767,How easy or difficult is it for you (or your organization) to compare offers for technology vendors?,7,rate,146
